Area,1990,2000,2010,2010-1990,2010-2000
Atlanta,60.37546801014345,52.31679,66.68239716375706,6.306929153613609,14.365607163757062
Austin,63.478689145973746,53.19888,67.1321892285672,3.653500082593453,13.933309228567197
Baltimore,60.37745029626894,57.5626,64.33133072826236,3.9538804319934187,6.768730728262355
Boston,61.541690600746875,60.28802,59.08384417630565,-2.457846424441229,-1.2041758236943565
Buffalo,73.27659816495958,60.07548,61.52546201403905,-11.75113615092053,1.4499820140390511
Charlotte,66.90817657705539,54.73937,64.0526815140792,-2.855495062976189,9.313311514079196
Chicago,59.830534500000006,47.50277,62.25587188398059,2.425337383980583,14.753101883980591
Cincinnati,67.51882116890982,59.70134,63.81626979604995,-3.7025513728598725,4.11492979604995
Cleveland,70.27014784368207,62.77554,60.599390167439914,-9.670757676242154,-2.1761498325600854
Columbus,67.72593293272408,60.79675,64.04641174171243,-3.679521191011645,3.24966174171243
Dallas,66.03146949483623,56.96404,65.99143770414402,-0.04003179069221119,9.027397704144022
Denver,65.00214079321759,50.87279,60.70561775485221,-4.296523038365379,9.832827754852211
Detroit,59.74012668400049,50.51411,62.14790113348605,2.407774449485565,11.63379113348605
Grand Rapids,70.9393812037455,56.83914564234036,67.78467421688788,-3.1547069868576187,10.945528574547517
Virginia Beach,64.89864925681238,54.51603,64.71536663352344,-0.18328262328893175,10.199336633523444
Hartford,70.55011752171079,68.56857,63.83101673639741,-6.71910078531338,-4.737553263602585
Honolulu,61.85177096411715,58.40320294694695,54.71093280537417,-7.14083815874298,-3.692270141572777
Houston,61.86592987183512,53.7673,66.693022833823,4.827092961987873,12.925722833822995
Indianapolis,66.18181659192213,53.33619,62.662263546111326,-3.5195530458108024,9.326073546111324
Riverside,65.10221093956217,57.81975,72.10742814017156,7.005217200609394,14.287678140171565
Jacksonville,55.540281389808555,54.3979,69.12706830003765,13.586786910229094,14.72916830003765
Kansas City,63.2199184408059,63.34106,67.81228876979557,4.592370328989674,4.471228769795573
Las Vegas,58.291697709553844,50.76474,62.45400827588758,4.162310566333737,11.689268275887578
Los Angeles,48.11622779676405,47.96656,67.71265423726469,19.596426440500636,19.746094237264685
Louisville,62.48721285155351,57.96375,69.76239089959542,7.275178048041909,11.79864089959542
Memphis,65.30803220505597,57.32139,66.0117975254536,0.7037653203976362,8.690407525453601
Milwaukee,64.48552107198695,57.25628,66.57502481511119,2.08950374312424,9.318744815111195
Minneapolis,63.564185114523426,55.30265,72.35417413894163,8.789989024418205,17.05152413894163
Nashville,63.73443651931945,60.80458,66.5094342428732,2.7749977235537457,5.704854242873196
New Orleans,62.63669301231881,56.71207,70.11391631549093,7.477223303172117,13.401846315490928
New York,59.42988867805861,51.8687,60.63606006157278,1.2061713835141674,8.76736006157278
Oklahoma City,69.71442539828774,59.51772,62.746727907823015,-6.9676974904647295,3.229007907823018
Orlando,58.78311324728174,45.74069,63.67703994300269,4.89392669572095,17.93634994300269
Philadelphia,63.17625705355521,52.86588,57.5831982772522,-5.59305877630301,4.717318277252204
Phoenix,62.02920484038443,52.44265,65.52311377460158,3.4939089342171528,13.080463774601583
Pittsburgh,65.42916793409438,58.55113,59.80744482262588,-5.621723111468498,1.2563148226258818
Portland,65.14077091573358,53.08795,58.33103065050781,-6.80974026522577,5.243080650507814
Providence,70.3388720650424,62.4824,61.333480923569354,-9.00539114147304,-1.1489190764306443
Raleigh,68.77871409522666,61.62895,70.88814311356755,2.10942901834089,9.259193113567548
Rochester,70.51493653768364,62.089397559255026,64.0446957598947,-6.470240777788945,1.9552982006396675
Sacramento,61.557786724694,53.29741,69.85125988721772,8.293473162523725,16.553849887217723
Salt Lake City,65.14395936703976,52.23418,64.533357950474,-0.610601416565757,12.299177950473997
San Antonio,68.13115721225047,59.60624,70.32926978564988,2.1981125733994133,10.723029785649885
San Diego,59.33004339689815,53.16983,74.20890235679654,14.878858959898395,21.039072356796545
San Francisco,53.93632527694484,53.32521,72.54220040456146,18.605875127616613,19.216990404561457
San Jose,57.58663731743308,50.66389,67.91398003597122,10.32734271853814,17.25009003597122
Seattle,57.751551670614234,58.18665,59.237163329958236,1.485611659344002,1.0505133299582354
Miami,57.26708654428858,59.82909,59.3962086848502,2.12912214056162,-0.43288131514979966
St. Louis,65.02916552345445,56.50248,55.946693712217225,-9.082471811237227,-0.5557862877827731
Tampa Bay,57.77265252370572,47.58084,65.03700942892235,7.264356905216623,17.456169428922344
Washington,57.16639723788157,49.55658,60.64773014173051,3.4813329038489442,11.091150141730516
,,,,,
Average,63.23253808302877,55.81602972840279,64.65731330180749,1.4247752187787375,8.841283573404716
