,Freeway Peak MPH,Freeway Freeflow MPH,Arterial Peak,Arterial Freeflow,,WEIGHT,PEAK,FFS,,Peak Speed Km/H,FFS Km/h,,TTI Freeway VMT,HMPS Fwy VMT,TTI Arterial VMT,TOTAL VMT,Non-Fwy VMT,Weighted Average Speed (VMT/VHT) MPH,FFS,km/h,FFS km/h,0,,,Rank,,,
Atlanta,56.5,64.7,36.3,44.1,,0.25,41.349999999999994,49.25,,66.53214999999999,79.24325,,49501,46786,43201,134780,87994,41.44337921923994,49.57970732166666,66.68239716375706,79.77374908056166,Atlanta,,,9,,,
Austin,52.9,62.6,36.2,42.9,,0.25,40.375,47.824999999999996,,64.963375,76.950425,,12650,12274,11004,29272,16998,41.72292680457874,49.42139688855242,67.1321892285672,79.51902759368085,Austin,,,10,,,
Baltimore2,53.3,62.7,31.8,38.6,,0.25,37.175,44.625,,59.814575,71.801625,,26805,26678,18338,52585,25907,39.98218193179761,47.950478529822675,64.33133072826236,77.15231995448468,Baltimore2,,,18,,,
Boston,54.2,63.4,29.5,36,,0.25,35.675,42.85,,57.40107499999999,68.94565,,42357,40096,34942,92923,52827,36.720847841084925,44.252299346517006,59.08384417630565,71.20194964854586,Boston,,,42,,,
Buffalo,55.2,62,33.4,38.6,,0.25,38.849999999999994,44.45,,62.50964999999999,71.52005,,6931,6642,9604,20731,14089,38.23832319082601,43.90960644984968,61.52546201403905,70.65055677780813,Buffalo,,,43,,,
Charlotte,58,62.9,34,41.4,,0.25,40,46.775,,64.36,75.260975,,12797,11809,10066,33487,21678,39.809000319502296,47.074244622818306,64.0526815140792,75.74245959811465,Charlotte,,,22,,,
Chicago,53,63.1,34.3,40.2,,0.25,38.974999999999994,45.925000000000004,,62.71077499999999,73.893325,,62791,57269,51500,178000,120731,38.69227587568713,45.514404198993226,62.25587188398059,73.23267635618011,Chicago,,,34,,,
Cincinnati,56.3,63.7,32.5,38.2,,0.25,38.45,44.575,,61.86605,71.721175,,19370,18600,13323,43543,24943,39.662069481696676,46.07959723737057,63.81626979604995,74.14207195492925,Cincinnati,,,30,,,
Cleveland,56.8,62.8,29.6,34.6,,0.25,36.400000000000006,41.650000000000006,,58.567600000000006,67.01485000000001,,18569,17534,12222,39222,21688,37.66276579704159,43.29021382215561,60.599390167439914,69.65395403984837,Cleveland,,,46,,,
Columbus,57.6,64.1,31.1,37.3,,0.25,37.725,44,,60.699525,70.79599999999999,,16466,15156,10872,31884,16728,39.80510363064788,46.551768178430706,64.04641174171243,74.901794999095,Columbus,,,26,,,
Dallas-Fort Worth,54,64.1,33.1,39.1,,0.25,38.325,45.35,,61.664925000000004,72.96815000000001,,62600,61385,44012,123127,61742,41.01394512376881,48.53780699714211,65.99143770414402,78.09733145840165,Dallas-Fort Worth,,,17,,,
Denver,50.9,62.3,32.1,38,,0.25,36.800000000000004,44.075,,59.211200000000005,70.916675,,22205,20412,21575,50534,30122,37.728786671754015,45.10656759229103,60.70561775485221,72.57646725599626,Denver,,,36,,,
Detroit,57,64.3,33.4,38.7,,0.25,39.3,45.1,,63.23369999999999,72.5659,,32778,30444,46953,93177,62733,38.6251716180771,44.48702481067083,62.14790113348605,71.57962292036937,Detroit,,,40,,,
Grand Rapids,61.1,63.9,36.3,39.8,,0.25,42.5,45.824999999999996,,68.3825,73.73242499999999,,5624,5243,7725,15382,10139,42.12844886071341,45.67118112295378,67.78467421688788,73.48493042683263,Grand Rapids,,,33,,,
Virginia Beach,56.1,62.9,35.1,41.5,,0.25,40.35,46.85,,64.92315,75.38165000000001,,13144,13059,18165,38395,25336,40.220861798336514,46.93069430833146,64.71536663352344,75.51148714210532,Virginia Beach,,,24,,,
Hartford,58.1,63.3,30.6,37.2,,0.25,37.475,43.725,,60.297275,70.353525,,11693,10789,7428,22333,11544,39.67123476469696,46.453056640573244,63.83101673639741,74.74296813468234,Hartford,,,27,,,
Honolulu,44.7,57.2,28.5,34.8,,0.25,32.55,40.4,,52.372949999999996,65.00359999999999,,6265,5795,3148,12977,7182,34.00306575846748,42.17549789673529,54.71093280537417,67.86037611584707,Honolulu,,,50,,,
Houston,54.2,63.9,33.9,40.2,,0.25,38.974999999999994,46.125,,62.71077499999999,74.215125,,54700,52039,40768,107005,54966,41.44998311611125,49.046721147023085,66.693022833823,78.91617432556015,Houston,,,12,,,
Indianapolis,55.4,63,34.6,40.1,,0.25,39.800000000000004,45.825,,64.0382,73.732425,,14205,13081,14283,44022,30941,38.94484993543277,44.955687799381295,62.662263546111326,72.3337016692045,Indianapolis,,,37,,,
Riverside-San Bernardino CA,54.4,64.7,37.5,43.1,,0.25,41.725,48.5,,67.135525,78.0365,,22302,21993,14021,41858,19865,44.815057886992896,52.26842879147513,72.10742814017156,84.09990192548348,Riverside-San Bernardino CA,,,3,,,
Jacksonville,58.9,63.4,37.4,43.3,,0.25,42.775,48.324999999999996,,68.824975,77.75492499999999,,12226,11543,9360,32542,20999,42.96275220636274,48.78629408810919,69.12706830003765,78.49714718776768,Jacksonville,,,13,,,
Kansas City,57.6,62.7,33.9,37.5,,0.25,39.824999999999996,43.8,,64.078425,70.4742,,21701,20761,12242,43662,22901,42.145611416902156,46.359680923787984,67.81228876979557,74.59272660637487,Kansas City,,,28,,,
Las Vegas,57.4,64.6,33.7,39.8,,0.25,39.625,46,,63.756625,74.014,,11980,10805,15145,33852,23047,38.81541844368402,45.35792643523664,62.45400827588758,72.98090363429576,Las Vegas,,,35,,,
Los Angeles2,48.6,64.6,37.4,43.7,,0.25,40.199999999999996,48.925000000000004,,64.6818,78.720325,,137813,131995,116970,273316,141321,42.083688152433,51.79228708706855,67.71265423726469,83.33378992309329,Los Angeles2,,,4,,,
Louisville,57,63.7,36.1,42.5,,0.25,41.325,47.8,,66.49192500000001,76.91019999999999,,12250,12021,9384,26332,14311,43.35760776854905,50.113987089800574,69.76239089959542,80.63340522748912,Louisville,,,7,,,
Memphis,56.9,64,36.1,42.5,,0.25,41.300000000000004,47.875,,66.4517,77.030875,,8541,8444,12832,25705,17261,41.02659883496184,47.77182431499877,66.0117975254536,76.86486532283301,Memphis,,,19,,,
Milwaukee,55.6,62.5,35.7,39.3,,0.25,40.675000000000004,45.099999999999994,,65.44607500000001,72.56589999999998,,11490,11084,15200,28916,17832,41.376646870796264,45.81954068547266,66.57502481511119,73.72364096292551,Milwaukee,,,31,,,
Minneapolis-St.Paul,54.3,63.8,39.6,43.1,,0.25,43.275000000000006,48.275000000000006,,69.62947500000001,77.67447500000002,,30383,28528,23919,64692,36164,44.96841152202712,50.29624571224999,72.35417413894163,80.92665935101023,Minneapolis-St.Paul,,,6,,,
Nashville,57.2,64.1,34.2,41.9,,0.25,39.95,47.449999999999996,,64.27955,76.34705,,14974,14765,11405,34391,19626,41.33588206517912,49.218299853022366,66.5094342428732,79.19224446351299,Nashville,,,11,,,
New Orleans,54.9,63.2,39.6,43.7,,0.25,43.425000000000004,48.575,,69.87082500000001,78.15717500000001,,4763,4696,7670,14343,9647,43.57608223461214,48.61062572155597,70.11391631549093,78.21449678598356,New Orleans,,,15,,,
New York,52,62.2,31.9,40.5,,0.25,36.925,45.925,,59.412324999999996,73.89332499999999,,117496,116524,112322,293385,176861,37.68555628438333,47.01445753461128,60.63606006157278,75.64626217318956,New York,,,23,,,
Oklahoma City,58.4,64.6,33.5,37.7,,0.25,39.725,44.425,,63.917525000000005,71.47982499999999,,10647,10486,13048,31716,21230,38.997344877453706,43.718953110296354,62.746727907823015,70.34379555446684,Oklahoma City,,,44,,,
Orlando,58.8,64.3,34.9,42.8,,0.25,40.875,48.175,,65.767875,77.51357499999999,,13353,12755,16909,43883,31128,39.57553756557035,47.40742185383909,63.67703994300269,76.27854176282709,Orlando,,,20,,,
Philadelphia,55.5,63.6,31.8,39.2,,0.25,37.725,45.300000000000004,,60.699525,72.88770000000001,,34246,33364,45784,127849,94485,35.788190352549535,43.561281678948106,57.5831982772522,70.0901022214275,Philadelphia,,,45,,,
Phoenix,57.4,64.2,34.7,40.1,,0.25,40.375,46.125,,64.963375,74.215125,,29657,29278,35248,78287,49009,40.722879909634294,46.649019610475406,65.52311377460158,75.05827255325492,Phoenix,,,25,,,
Pittsburgh,55.2,62.6,33.3,40.1,,0.25,38.775,45.725,,62.388974999999995,73.57152500000001,,11431,8865,16218,33776,24911,37.170568565957666,44.276919514604074,59.80744482262588,71.24156349899795,Pittsburgh,,,41,,,
Portland,49.2,60.3,31.1,36.5,,0.25,35.625,42.45,,57.320625,68.30205000000001,,15084,13485,14039,34902,21417,36.252971193603365,43.06767598038985,58.33103065050781,69.29589065244727,Portland,,,48,,,
Providence,56.1,61.9,30.9,35,,0.25,37.199999999999996,41.725,,59.85479999999999,67.135525,,11861,11115,10431,26364,15249,38.119006167538444,42.85090657998297,61.333480923569354,68.9471086871926,Providence,,,49,,,
Raleigh,61.3,64.1,39.1,45.4,,0.25,44.650000000000006,50.074999999999996,,71.84185000000001,80.570675,,12738,7557,12427,24323,16766,44.0572673173198,49.92517587250678,70.88814311356755,80.32960797886341,Raleigh,,,8,,,
"Rochester, NY",58.1,61.2,33.7,38.9,,0.25,39.800000000000004,44.474999999999994,,64.0382,71.56027499999999,,6302,5883,6588,16111,10228,39.80403714101597,44.87018282473035,64.0446957598947,72.19612416499113,"Rochester, NY",,,38,,,
Sacramento,55.2,64.7,37.4,43.5,,0.25,41.849999999999994,48.8,,67.33664999999999,78.5192,,15556,15052,14377,35044,19992,43.41284020336714,50.62485271355072,69.85125988721772,81.45538801610311,Sacramento,,,5,,,
Salt Lake City,60.3,64.4,33.6,39.2,,0.25,40.275000000000006,45.5,,64.80247500000002,73.2095,,8444,7972,8403,21755,13783,40.10774266654692,45.76185265633421,64.533357950474,73.63082092404174,Salt Lake City,,,32,,,
San Antonio,57.2,62.9,35,39.4,,0.25,40.55,45.275,,65.24494999999999,72.847475,,19114,18758,13345,36535,17777,43.709925286295764,48.75153573437122,70.32926978564988,78.44122099660329,San Antonio,,,14,,,
San Diego,56.8,64.5,37.6,43.7,,0.25,42.400000000000006,48.900000000000006,,68.22160000000001,78.68010000000001,,37243,36537,22240,66848,30311,46.12113260211096,53.05057146293701,74.20890235679654,85.35836948386564,San Diego,,,1,,,
San Francisco1,54,64.1,37.8,44,,0.25,41.849999999999994,49.025,,67.33664999999999,78.881225,,51843,36365,30467,67514,31149,45.085270605693886,52.94183794421732,72.54220040456146,85.18341725224566,San Francisco1,,,2,,,
San Jose1,57.1,64,34.6,40.4,,0.25,40.225,46.3,,64.722025,74.49669999999999,,17146,16922,16563,36990,20068,42.20881294964029,48.598224147063355,67.91398003597122,78.19454265262493,San Jose1,,,16,,,
Seattle,51.2,62,30.4,35.2,,0.25,35.599999999999994,41.900000000000006,,57.28039999999999,67.4171,,33207,30385,27828,70830,40445,36.816136314455086,43.21309917246786,59.237163329958236,69.52987656850078,Seattle,,,47,,,
Miami,56.7,64,31.7,39.2,,0.25,37.95,45.400000000000006,,61.061550000000004,73.04860000000001,,43452,40374,50848,126011,85637,36.914983645028094,44.75678962036115,59.3962086848502,72.01367449916108,Miami,,,39,,,
St. Louis,44.4,56,29.8,34.9,,0.25,33.45,40.175,,53.82105000000001,64.64157499999999,,30207,29689,19743,68286,38597,34.77109615426801,41.737263086709284,55.946693712217225,67.15525630651524,St. Louis,,,51,,,
Tampa Bay,59.1,64.2,37.2,44.2,,0.25,42.675000000000004,49.2,,68.66407500000001,79.1628,,14360,13549,28370,63010,49461,40.420764095041854,47.373419333369014,65.03700942892235,76.22383170739074,Tampa Bay,,,21,,,
Washington2,49.4,62,32.9,40.1,,0.25,37.025,45.575,,59.573224999999994,73.330175,,40082,37081,49729,97404,60323,37.69280928634588,46.33002195285414,60.64773014173051,74.54500532214232,Washington2,,,29,,,
MEDIAN,56.1,63.6,33.9,40.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,40.18478141815258,,64.65731330180749,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table A8 in http://d2dtl5nnlpfr0r.cloudfront.net/tti.tamu.edu/documents/mobility-report-2012-appx-a.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Appendix A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Methodology for the 2012 Urban Mobility Report ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Metro Total VMT from,,,,,,,,,,,,,,,,,,,,,,,,,,,
