,Freeway Peak MPH,Freeway Freeflow MPH,Arterial Peak,Arterial Freeflow,,WEIGHT,PEAK,FFS,,Peak Speed Km/H,FFS Km/h,,TTI Freeway VMT,HMPS Fwy VMT,TTI Arterial VMT,TOTAL VMT,Non-Fwy VMT,Weighted Average Speed (VMT/VHT) MPH,FFS,km/h,FFS km/h,0,,,Rank,,,
,http://www.fhwa.dot.gov/policyinformation/statistics/2010/hm71.cfm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.5,64.7,54.2,63.4,53,63.1,54,64.1,57,64.3,54.2,63.9,48.6,64.6,,56.7,64,,52,62.2,55.5,63.6,62,49.4,62,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.3,44.1,29.5,36,34.3,40.2,33.1,39.1,33.4,38.7,33.9,40.2,37.4,43.7,,31.7,39.2,,31.9,40.5,31.8,39.2,35.2,32.9,40.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.3,63.8,57.2,64.1,54.9,63.2,58.8,64.3,55.2,62.6,49.2,60.3,56.1,61.9,,61.3,64.1,,54.4,64.7,55.2,64.7,64.7,44.4,56,59.1,64.2,56.1,62.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.6,43.1,34.2,41.9,39.6,43.7,34.9,42.8,33.3,40.1,31.1,36.5,30.9,35,,39.1,45.4,,37.5,43.1,37.4,43.5,46.1,29.8,34.9,37.2,44.2,35.1,41.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.9,62.6,53.3,62.7,55.2,62,58,62.9,56.3,63.7,56.8,62.8,57.6,64.1,,50.9,62.3,,55.4,63,58.9,63.4,64,55.6,62.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.2,42.9,31.8,38.6,33.4,38.6,34,41.4,32.5,38.2,29.6,34.6,31.1,37.3,,32.1,38,,34.6,40.1,37.4,43.3,42.5,35.7,39.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.5,,,,,36.3,,,,54.3,,,,39.6,,,,,,,52.9,,,,,,,,
64.7,,,,,44.1,,,,63.8,,,,43.1,,,,,,,62.6,,,,,,,,
54.2,,,,,29.5,,,,57.2,,,,34.2,,,,,,,53.3,,,,,,,,
63.4,,,,,36,,,,64.1,,,,41.9,,,,,,,62.7,,,,,,,,
53,,,,,34.3,,,,54.9,,,,39.6,,,,,,,55.2,,,,,,,,
63.1,,,,,40.2,,,,63.2,,,,43.7,,,,,,,62,,,,,,,,
54,,,,,33.1,,,,58.8,,,,34.9,,,,,,,58,,,,,,,,
64.1,,,,,39.1,,,,64.3,,,,42.8,,,,,,,62.9,,,,,,,,
57,,,,,33.4,,,,55.2,,,,33.3,,,,,,,56.3,,,,,,,,
64.3,,,,,38.7,,,,62.6,,,,40.1,,,,,,,63.7,,,,,,,,
54.2,,,,,33.9,,,,49.2,,,,31.1,,,,,,,56.8,,,,,,,,
63.9,,,,,40.2,,,,60.3,,,,36.5,,,,,,,62.8,,,,,,,,
48.6,,,,,37.4,,,,56.1,,,,30.9,,,,,,,57.6,,,,,,,,
64.6,,,,,43.7,,,,61.9,,,,35,,,,,,,64.1,,,,,,,,
56.7,,,,,31.7,,,,61.3,,,,39.1,,,,,,,50.9,,,,,,,,
64,,,,,39.2,,,,64.1,,,,45.4,,,,,,,62.3,,,,,,,,
52,,,,,31.9,,,,54.4,,,,37.5,,,,,,,55.4,,,,,,,,
62.2,,,,,40.5,,,,64.7,,,,43.1,,,,,,,63,,,,,,,,
55.5,,,,,31.8,,,,55.2,,,,37.4,,,,,,,58.9,,,,,,,,
63.6,,,,,39.2,,,,64.7,,,,43.5,,,,,,,63.4,,,,,,,,
57.4,,,,,34.7,,,,57.2,,,,35,,,,,,,57.6,,,,,,,,
64.2,,,,,40.1,,,,62.9,,,,39.4,,,,,,,62.7,,,,,,,,
56.8,,,,,37.6,,,,60.3,,,,33.6,,,,,,,57.4,,,,,,,,
64.5,,,,,43.7,,,,64.4,,,,39.2,,,,,,,64.6,,,,,,,,
54,,,,,37.8,,,,57.1,,,,34.6,,,,,,,57,,,,,,,,
64.1,,,,,44,,,,64,,,,40.4,,,,,,,63.7,,,,,,,,
51.2,,,,,30.4,,,,54.5,,,,39.5,,,,,,,56.9,,,,,,,,
62,,,,,35.2,,,,64.7,,,,46.1,,,,,,,64,,,,,,,,
49.4,,,,,32.9,,,,44.4,,,,29.8,,,,,,,55.6,,,,,,,,
62,,,,,40.1,,,,56,,,,34.9,,,,,,,62.5,,,,,,,,
,,,,,,,,,59.1,,,,37.2,,,,,,,,,,,,,,,
,,,,,,,,,64.2,,,,44.2,,,,,,,,,,,,,,,
,,,,,,,,,56.1,,,,35.1,,,,,,,,,,,,,,,
,,,,,,,,,62.9,,,,41.5,,,,,,,,,,,,,,,
