,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urban Area,Population,,Population,,Peak Period,Commuters,Freeway,,Arterial Street,,Public Transportation,,Cost Components,,,,Congested,Congested ,Number of Rush,Annual Excess Fuel Consumed,,,,Annual Hours of Delay,,,,Travel Time Index,,Commuter Stress Index,,Freeway Planning Time Index,,,,Excess CO2 Due to Congestion,,,,Truck,Truck,Annual Congestion Cost,,,,Annual Effects of Operations Treatments,,,Condition if Public Transportation Service were Discontinued,,,Roadway 
,,Group,Year,(000),Rank,Travelers,(000),Daily Vehicle-,Lane-miles,Daily Vehicle-,Lane-miles,Annual,Annual Unlinked,Value of Time,Commercial,Average State,Average State,Travel,System,Hours (time when ,Total Gallons,,Gallons per ,,Total Delay,,per Auto,,,,,,95th Percentile,,80th Percentile,,Congested CO2,,CO2 per Peak ,,Congestion,Commodity,Total Dollars,,per Auto,,Delay Reduction,Delay Reduction,Congestion Cost,Annual Delay,Annual Delay,Annual Congestion,Congestion
,,,,,,(000),,Miles of Travel,,Miles of Travel,,Passenger-miles,Passenger Trips,($/hour),Value of Time,Gasoline Cost,Diesel Cost,(% of Peak VMT),(% of lane-miles),system may be,(000),Rank,Auto Commuter,Rank,(000),Rank,Commuter,Rank,Value,Rank,Value,Rank,Value,Rank,Value,Rank,Pounds (million),Rank,Auto Commuter,,Cost ($mil),Value ($mil),(million),Rank,Commuter ($),Rank,(1000 hours),per Auto Commuter,Savings ($million),Increase,Increase per Auto,Cost Increase,Index
LEFT,,,,,,,,(000),,(000),,(million),(million),,($/hour),($/gallon),($/gallon),,,congested),,,,,,,,,,,,,,,,,,,(pounds),Rank,,,,,,,,(hours),,(1000 hours),Commuter (hours),($million),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuq,Albuquerque NM,Med,2011,630,64,352,330,5469,393,7627,1603,105,13.9,16.79,86.81,3.31,3.69,39,33,2.5,6408,62,15,48,12488,63,29,60,1.1,87,1.12,89,2.7,54,1.52,48,74,79,170,90,82,14125,288,62,658,53,841,3,19.4,252,1,5.8,0.98
Allen,Allentown-Bethlehem PA-NJ,Med,2011,635,63,355,333,5096,448,5399,969,27.3,6,16.79,86.81,3.41,3.79,38,42,2.5,6339,64,14,57,13247,60,30,53,1.17,47,1.21,45,2.61,58,1.39,64,128,62,289,54,69,16118,292,61,656,54,318,1,7,344,1,7.6,0.9
Ancho,Anchorage AK,Sml,2011,307,95,172,161,1380,190,1992,386,32.3,4.7,16.79,86.81,3.8,4.17,17,26,1.5,1770,95,8,91,3627,96,17,93,1.18,37,1.23,32,2.93,46,1.79,21,31,93,144,93,16,4507,78,96,367,93,101,1,2.2,258,2,5.5,0.69
Atlan,Atlanta GA,Vlg,2011,4360,8,2372,2135,49501,2970,43201,7586,896.1,146.4,16.79,86.81,3.2,3.64,78,59,5,63521,11,23,12,142041,10,51,7,1.24,17,1.33,13,3.71,19,1.79,21,1284,11,462,11,775,191563,3135,9,1120,7,6863,3,151.5,10520,5,232.2,1.18
Austi,Austin TX,Lrg,2011,1345,35,767,712,12650,953,11004,2052,154.9,33.9,16.79,86.81,3.29,3.56,61,49,5.75,17075,32,20,19,38307,32,44,17,1.32,4,1.38,5,4.26,6,2.15,4,343,30,398,23,157,33256,810,33,930,18,1902,3,40.2,2395,3,50.6,0.98
Baker,Bakersfield CA,Med,2011,544,76,304,285,2173,199,4481,1061,26.6,7.1,16.79,86.81,3.51,4.02,34,30,2.5,2240,92,6,97,4752,91,12,100,1.11,79,1.13,81,2.28,70,1.33,68,45,89,118,95,41,10995,117,91,298,98,187,1,4.6,238,1,5.9,0.81
Balti,Baltimore MD,Lrg,2011,2523,17,1438,1336,26805,1561,18338,3252,754.8,118.1,16.79,86.81,3.41,3.66,77,58,4.25,33060,16,19,24,70263,17,41,23,1.23,20,1.29,18,3.81,15,1.88,16,667,16,392,25,379,96445,1557,16,908,22,3742,3,82.9,11219,8,248.6,1.21
Baton,Baton Rouge LA,Med,2011,610,70,341,320,4858,283,8012,1457,15.8,3.6,16.79,86.81,3.28,3.56,44,39,5,10201,51,26,4,17122,55,42,21,1.22,23,1.26,28,3.74,17,1.87,18,210,49,526,3,148,32671,424,53,1052,9,1024,3,25.3,165,1,4.1,1.18
Beaum,Beaumont TX,Sml,2011,243,98,136,128,2985,254,3266,1011,3.9,0.7,16.79,86.81,3.29,3.56,15,15,1.5,2089,94,12,69,4205,93,25,75,1.1,87,1.13,81,1.9,89,1.22,90,42,90,248,67,19,20767,91,93,531,76,99,1,2.1,40,0,0.9,0.79
Birmi,Birmingham AL,Med,2011,861,52,481,451,10184,810,7969,1593,19.2,2.7,16.79,86.81,3.12,3.59,45,39,3.25,10304,49,18,30,20903,49,35,40,1.19,35,1.23,32,2.97,44,1.52,48,208,50,356,36,107,38716,458,49,773,42,983,2,21.5,261,1,5.7,0.92
