,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urban Area,Population,,Population,,Peak Period,Commuters,Freeway,,Arterial Street,,Public Transportation,,Cost Components,,,,Congested,Congested ,Number of Rush,Annual Excess Fuel Consumed,,,,Annual Hours of Delay,,,,Travel Time Index,,Commuter Stress Index,,Freeway Planning Time Index,,,,Excess CO2 Due to Congestion,,,,Truck,Truck,Annual Congestion Cost,,,,Annual Effects of Operations Treatments,,,Condition if Public Transportation Service were Discontinued,,,Roadway 
,,Group,Year,(000),Rank,Travelers,(000),Daily Vehicle-,Lane-miles,Daily Vehicle-,Lane-miles,Annual,Annual Unlinked,Value of Time,Commercial,Average State,Average State,Travel,System,Hours (time when ,Total Gallons,,Gallons per ,,Total Delay,,per Auto,,,,,,95th Percentile,,80th Percentile,,Congested CO2,,CO2 per Peak ,,Congestion,Commodity,Total Dollars,,per Auto,,Delay Reduction,Delay Reduction,Congestion Cost,Annual Delay,Annual Delay,Annual Congestion,Congestion
,,,,,,(000),,Miles of Travel,,Miles of Travel,,Passenger-miles,Passenger Trips,($/hour),Value of Time,Gasoline Cost,Diesel Cost,(% of Peak VMT),(% of lane-miles),system may be,(000),Rank,Auto Commuter,Rank,(000),Rank,Commuter,Rank,Value,Rank,Value,Rank,Value,Rank,Value,Rank,Pounds (million),Rank,Auto Commuter,,Cost ($mil),Value ($mil),(million),Rank,Commuter ($),Rank,(1000 hours),per Auto Commuter,Savings ($million),Increase,Increase per Auto,Cost Increase,Index
LEFT,,,,,,,,(000),,(000),,(million),(million),,($/hour),($/gallon),($/gallon),,,congested),,,,,,,,,,,,,,,,,,,(pounds),Rank,,,,,,,,(hours),,(1000 hours),Commuter (hours),($million),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knoxv,Knoxville TN,Med,2011,508,80,285,267,5438,373,6541,1202,15.4,3,16.79,86.81,3.21,3.57,31,32,2.5,6339,64,18,30,13247,60,37,37,1.16,51,1.19,55,2.02,84,1.33,68,128,62,355,37,63,12104,287,63,792,36,560,2,12.1,89,0,1.9,1.06
Lanca,Lancaster-Palmdale CA,Med,2011,606,71,339,317,1005,77,3878,806,40.7,3.1,16.79,86.81,3.51,4.02,29,32,2.5,2744,88,6,97,6541,85,15,95,1.08,95,1.11,95,1.48,98,1.18,94,21,98,50,100,24,2767,136,87,317,97,140,0,2.9,541,2,11.3,0.95
Lared,Laredo TX,Sml,2011,235,99,132,124,586,77,1917,365,10.9,3.2,16.79,86.81,3.29,3.56,96,125,1.5,1423,97,8,91,3074,99,19,92,1.14,61,1.15,73,2.07,81,1.41,61,29,94,171,89,20,31171,71,98,418,91,60,0,1.4,154,1,3.5,0.82
Las V,Las Vegas NV,Lrg,2011,1443,34,823,764,11980,750,15145,2750,209.6,59.1,16.79,86.81,3.4,3.73,78,58,4,21491,24,21,17,45419,28,44,17,1.2,27,1.28,20,3.14,35,1.63,36,429,24,417,17,137,36032,931,29,906,23,2531,3,51.9,2184,3,44.7,1.13
Littl,Little Rock AR,Sml,2011,464,84,260,244,7915,672,4913,1157,14.7,2.8,16.79,86.81,3.13,3.61,32,32,2,3591,80,12,69,8132,80,26,71,1.07,99,1.07,101,2.2,74,1.33,68,49,87,158,92,33,15286,171,81,545,74,474,2,10,23,0,0.5,0.84
Los A,Los Angeles-Long Beach-Santa Ana CA,Vlg,2011,13229,2,7289,6597,137813,5827,116970,20000,3405.1,665.8,16.79,86.81,3.51,4.02,94,62,8,219710,2,27,3,501881,2,61,2,1.37,1,1.39,3,4.95,2,2.5,2,3578,2,436,15,2290,412152,10785,2,1300,2,61264,9,1316.4,32345,5,695,1.57
Louis,Louisville KY-IN,Lrg,2011,1084,41,618,574,12250,864,9384,1779,65.9,15.6,16.79,86.81,3.29,3.61,57,49,4,12507,40,17,40,26253,42,35,40,1.18,37,1.22,37,3.09,38,1.64,35,253,40,340,40,145,55941,584,41,776,40,691,1,15.4,657,1,14.6,1.02
Madis,Madison WI,Sml,2011,403,88,226,212,3499,289,2935,755,53,15.1,16.79,86.81,3.42,3.71,26,31,1.5,2609,89,10,86,5349,90,20,89,1.11,79,1.12,89,2.3,69,1.38,65,53,85,194,86,29,17534,119,88,436,88,112,1,2.5,360,2,8,0.84
McAll,McAllen TX,Med,2011,578,73,323,303,3192,275,6178,1536,1.5,0.1,16.79,86.81,3.29,3.56,30,41,2.5,6487,61,16,43,11469,67,28,63,1.16,51,1.2,50,3.01,41,1.44,57,130,61,320,45,44,7788,245,67,599,63,73,0,1.6,110,0,2.4,0.82
Memph,Memphis TN-MS-AR,Lrg,2011,1058,45,603,560,8541,667,12832,3335,54,10.4,16.79,86.81,3.21,3.57,33,30,4,14440,38,19,24,28700,39,38,30,1.18,37,1.23,32,3,43,1.53,46,291,37,384,27,153,99459,636,39,833,31,1104,2,24.5,690,1,15.3,0.86
Miami,Miami FL,Vlg,2011,5482,4,3163,2875,43452,2272,50848,7662,968.4,163.3,16.79,86.81,3.24,3.65,94,81,5,93863,4,25,6,174612,5,47,11,1.25,14,1.35,6,3.6,23,1.72,28,1885,4,498,6,739,155425,3749,5,993,13,15073,5,323.6,11589,4,248.8,1.35
Milwa,Milwaukee WI,Lrg,2011,1496,32,832,790,11490,843,15200,4006,154.5,47.3,16.79,86.81,3.42,3.71,34,26,4,11797,45,12,69,27755,40,28,63,1.15,57,1.19,55,3.15,34,1.66,31,237,45,232,74,131,67328,599,40,585,67,2113,3,45.6,1922,2,41.5,0.9
Minne,Minneapolis-St. Paul MN,Lrg,2011,2757,16,1571,1460,30383,2054,23919,5289,506.4,94.5,16.79,86.81,3.39,3.72,50,35,5,22100,22,12,69,60788,19,34,44,1.21,25,1.29,18,3.14,35,1.79,21,444,21,249,65,232,97828,1260,19,695,45,5881,4,121.9,4152,3,86.1,1.02
Nashv,Nashville-Davidson TN,Lrg,2011,1145,39,653,606,14974,1077,11405,2161,69.9,9.8,16.79,86.81,3.21,3.57,48,49,4,18652,30,24,8,35781,33,47,11,1.23,20,1.28,20,3.63,22,1.79,21,377,28,491,7,199,66124,801,34,1034,11,1406,2,31.5,688,1,15.4,1.01
New H,New Haven CT,Med,2011,616,67,344,323,7860,589,4018,1014,32,9.3,16.79,86.81,3.59,3.9,39,29,3.25,6966,59,16,43,14560,59,35,40,1.17,47,1.2,50,3.02,40,1.56,41,139,59,327,43,50,8271,304,59,717,44,481,1,10.1,336,1,7,0.93
New O,New Orleans LA,Lrg,2011,1065,44,566,525,4763,375,7670,1774,67.2,19.9,16.79,86.81,3.28,3.56,44,36,4,9353,52,13,60,19125,52,28,63,1.2,27,1.22,37,3.8,16,1.88,16,190,52,270,58,127,34397,441,51,629,59,1191,2,27.4,1748,3,40.3,0.89
New Y,New York-Newark NY-NJ-CT,Vlg,2011,18946,1,9056,6040,117496,7600,112322,19837,21434.6,4114.5,16.79,86.81,3.65,3.99,72,52,6.75,255798,1,28,2,544063,1,59,4,1.33,3,1.4,2,4.44,3,2.13,6,5146,1,557,2,2541,481177,11837,1,1281,3,53981,9,1174.4,440647,49,9586.8,1.11
Oklah,Oklahoma City OK,Med,2011,983,48,549,515,10647,924,13048,2751,14.2,2.8,16.79,86.81,3.26,3.53,38,37,2.5,12035,44,18,30,25182,43,38,30,1.15,57,1.18,61,2.48,64,1.46,56,242,43,362,34,115,38161,543,43,803,34,274,1,5.9,170,0,3.7,0.86
Omaha,Omaha NE-IA,Med,2011,646,62,361,338,5119,442,6725,1384,19.4,4.1,16.79,86.81,3.44,3.64,44,39,2.5,4737,74,11,80,10721,69,24,80,1.11,79,1.13,81,2.15,77,1.29,78,95,72,217,77,32,8764,219,72,494,84,792,2,16.2,175,1,3.6,0.87
Orlan,Orlando FL,Lrg,2011,1475,33,841,781,13353,1036,16909,2408,160.8,28.5,16.79,86.81,3.24,3.65,80,75,4,23336,21,22,15,46607,25,45,13,1.2,27,1.27,24,2.58,59,1.42,60,471,20,450,13,248,63858,1031,23,984,14,2746,4,60.8,1704,2,37.7,1.07
Oxnar,Oxnard CA,Med,2011,710,59,397,372,7015,392,6324,1214,21.1,4.5,16.79,86.81,3.51,4.02,59,43,2.5,5029,71,10,86,12445,64,26,71,1.1,87,1.11,95,2.44,66,1.48,52,87,74,182,88,55,9320,265,64,543,75,330,1,7,215,1,4.6,1.22
Pensa,Pensacola FL-AL,Sml,2011,361,91,203,190,1419,187,5058,820,6.8,1.4,16.79,86.81,3.24,3.65,34,37,1.5,2755,87,11,80,5655,88,22,86,1.11,79,1.16,69,1.31,101,1.09,100,55,84,215,80,22,6415,119,88,463,86,89,0,1.9,54,0,1.2,0.93
Phila,Philadelphia PA-NJ-DE-MD,Vlg,2011,5381,5,3019,2406,34246,2676,45784,8339,1787.2,358.6,16.79,86.81,3.41,3.79,61,54,5,75558,6,23,12,156027,7,48,9,1.26,10,1.34,10,3.46,24,1.75,27,1520,6,458,12,730,175393,3387,7,1018,12,10237,4,222.2,30167,13,654.9,0.97
Phoen,Phoenix-Mesa AZ,Vlg,2011,3679,13,2001,1801,29657,1731,35248,7306,351.9,71.8,16.79,86.81,3.19,3.68,71,52,5,46166,14,20,19,82554,14,35,40,1.18,37,1.27,24,3.19,33,1.63,36,944,14,401,22,627,131234,1969,14,837,30,4660,3,111.2,2541,1,60.6,1.15
Pitts,Pittsburgh PA,Lrg,2011,1761,26,997,926,11431,1350,16218,3726,303.7,65.4,16.79,86.81,3.41,3.79,25,34,4,21443,25,18,30,46725,24,39,28,1.24,17,1.3,17,3.14,35,1.77,26,431,23,355,37,213,70352,1007,24,826,32,1686,2,36.3,5753,6,124,0.69
Portl,Portland OR-WA,Lrg,2011,1925,23,1007,932,15084,967,14039,2667,499.3,113.4,16.79,86.81,3.56,3.91,68,51,4.5,24949,19,21,17,51987,20,44,17,1.28,6,1.35,6,4.26,6,2.15,4,503,18,415,18,244,65610,1130,21,937,16,4610,5,100.2,6951,7,151.1,1.1
Pough,Poughkeepsie-Newburgh NY,Med,2011,550,75,307,288,5123,519,4779,919,27.2,1.7,16.79,86.81,3.65,3.99,29,37,2.5,4965,72,13,60,9787,77,25,75,1.12,74,1.15,73,2.13,79,1.21,91,100,70,251,64,42,13850,212,74,531,76,124,0,2.7,395,1,8.6,0.79
Provi,Providence RI-MA,Lrg,2011,1236,37,685,636,11861,1069,10431,2189,96.2,20.2,16.79,86.81,3.53,3.76,33,34,4,12148,42,15,48,24618,44,30,53,1.16,51,1.19,55,2.86,50,1.55,43,242,43,293,51,69,21863,503,44,611,62,513,1,10.5,1184,2,24.2,0.83
Provo,Provo-Orem UT,Sml,2011,479,82,269,252,4031,292,3141,706,,,16.79,86.81,3.33,3.69,32,35,1.5,3459,81,10,86,8312,79,25,75,1.14,61,1.15,73,4.39,5,1.54,44,69,81,208,83,30,12905,172,80,514,80,369,1,7.7,80,0,1.7,0.97
Ralei,Raleigh-Durham NC,Lrg,2011,1142,40,651,605,12738,1000,12427,2216,100.4,24.4,16.79,86.81,3.32,3.64,50,52,4,8407,55,11,80,17923,54,23,83,1.14,61,1.21,45,2.34,68,1.33,68,170,55,217,77,96,50194,396,55,502,82,742,1,16.4,638,1,14.1,0.96
Richm,Richmond VA,Med,2011,974,49,544,510,11843,1107,9982,2254,65.8,12.8,16.79,86.81,3.29,3.6,33,36,2.5,7944,57,12,69,19499,51,29,60,1.11,79,1.14,78,2.22,72,1.28,80,159,57,234,72,62,38036,398,54,581,69,769,2,15.7,806,2,16.5,0.79
River,Riverside-San Bernardino CA,Lrg,2011,2025,22,1112,1033,22302,1060,14021,2807,135,24.5,16.79,86.81,3.51,4.02,82,52,4,21243,26,16,43,51195,21,38,30,1.23,20,1.23,32,3.31,28,1.81,20,339,32,257,60,310,109604,1152,20,854,28,4554,4,102.5,1428,1,32.1,1.41
Roche,Rochester NY,Med,2011,749,53,419,392,6302,600,6588,1572,64.9,17.6,16.79,86.81,3.65,3.99,17,18,2.5,6719,60,13,60,14850,58,28,63,1.13,68,1.17,63,1.96,87,1.28,80,134,60,257,60,51,26369,309,58,590,65,388,1,8,514,1,10.7,0.77
Sacra,Sacramento CA,Lrg,2011,1895,24,1031,933,15556,835,14377,2421,171.4,31.4,16.79,86.81,3.51,3.65,81,60,4,16384,35,13,60,39138,31,32,47,1.2,27,1.22,37,3.01,41,1.68,30,254,39,207,84,172,52561,834,30,669,50,3636,4,77.5,1807,2,38.5,1.3
Salem,Salem OR,Sml,2011,246,97,138,129,1617,152,2049,425,17.5,4.3,16.79,86.81,3.56,3.91,24,29,1.5,2106,93,12,69,4593,92,27,68,1.14,61,1.17,63,2.15,77,1.29,78,42,90,244,69,24,3889,101,92,580,70,106,1,2.3,239,2,5.2,0.82
Salt ,Salt Lake City UT,Lrg,2011,1027,47,574,538,8444,612,8403,1570,299.6,41.6,16.79,86.81,3.33,3.69,58,54,4,9266,53,13,60,21903,47,30,53,1.14,61,1.17,63,2.02,84,1.3,76,185,53,257,60,71,56934,449,50,620,61,905,2,18.6,3877,7,79.6,1.01
San A,San Antonio TX,Lrg,2011,1558,30,888,825,19114,1248,13345,3035,207,46.1,16.79,86.81,3.29,3.56,63,46,4,16776,33,16,43,39998,30,38,30,1.19,35,1.26,28,2.91,47,1.6,40,336,33,323,44,139,51263,825,31,787,38,1450,2,29.9,1808,2,37.3,1.05
San D,San Diego CA,Vlg,2011,3121,15,1698,1528,37243,1977,22240,3637,608.3,102.2,16.79,86.81,3.51,4.02,75,58,5,29666,18,15,48,72331,16,37,37,1.18,37,1.27,24,2.9,48,1.66,31,427,25,218,76,314,86817,1537,17,774,41,6282,4,133.5,6401,4,136,1.32
San F,San Francisco-Oakland CA,Vlg,2011,4101,11,2165,1931,51843,2533,30467,5208,2568.5,427.2,16.79,86.81,3.51,4.02,79,59,6,64509,10,25,6,155157,8,61,2,1.22,23,1.22,37,3.74,17,2,12,1298,10,503,5,643,132539,3279,8,1266,4,18956,10,400.6,36714,19,775.9,1.41
San J,San Jose CA,Lrg,2011,1838,25,1048,973,17146,896,16563,2425,208,43.2,16.79,86.81,3.51,4.02,77,63,6,20028,28,17,40,47385,23,39,28,1.24,17,1.24,31,3.45,25,1.93,15,302,35,249,65,153,52751,971,26,800,35,3872,4,79.3,2097,2,42.9,1.37
Saras,Sarasota-Bradenton FL,Med,2011,688,60,385,360,2517,180,6308,993,34.1,4.8,16.79,86.81,3.24,3.65,62,57,2.5,5301,67,11,80,10523,70,21,88,1.12,74,1.17,63,1.49,97,1.05,101,107,66,212,82,41,7682,222,70,444,87,668,2,14.1,152,0,3.2,1.13
Seatt,Seattle WA,Vlg,2011,3286,14,1837,1659,33207,2316,27828,5328,1249.2,192.8,16.79,86.81,3.6,3.96,64,47,6,47156,13,22,15,100802,13,48,9,1.26,10,1.33,13,3.99,12,2.02,8,955,13,447,14,546,152596,2241,13,1050,10,8497,5,188.9,16483,10,366.5,1.03
Spoka,Spokane WA-ID,Sml,2011,383,90,215,201,2369,255,4262,1200,53.1,11.5,16.79,86.81,3.6,3.96,13,15,1.75,3457,82,13,60,6107,86,23,83,1.12,74,1.13,81,2.95,45,1.51,50,70,80,257,60,38,7292,141,85,518,79,274,1,6.4,576,3,13.4,0.68
Sprin,Springfield MA-CT,Med,2011,628,65,351,329,5613,511,5899,1480,33.5,10.8,16.79,86.81,3.49,3.73,21,24,2.5,6403,63,15,48,12084,66,28,63,1.13,68,1.17,63,2.16,76,1.27,82,128,62,292,52,40,9279,253,66,575,71,224,1,4.7,349,1,7.3,0.79
St. L,St. Louis MO-IL,Lrg,2011,2343,20,1336,1241,30207,2612,19743,4689,300.2,47.5,16.79,86.81,3.24,3.54,31,25,4,21572,23,13,60,49605,22,31,50,1.14,61,1.17,63,2.64,55,1.44,57,437,22,272,56,300,107500,1116,22,686,47,2083,2,46.9,2958,2,66.5,0.83
Stock,Stockton CA,Sml,2011,409,87,229,215,3591,220,2235,486,60.9,5.1,16.79,86.81,3.51,4.02,34,32,1.5,1415,98,5,101,3519,97,12,100,1.1,87,1.13,81,1.74,93,1.25,86,19,100,67,98,35,10413,90,94,293,99,160,1,4.1,237,1,6.1,1.12
Tampa,Tampa-St. Petersburg FL,Lrg,2011,2393,18,1364,1267,14360,1016,28370,3897,146.5,29.3,16.79,86.81,3.24,3.65,70,66,4,30539,17,18,30,62876,18,38,30,1.2,27,1.28,20,2.9,48,1.54,44,613,17,366,32,246,62643,1325,18,791,37,4591,4,96.8,1210,1,25.5,1.19
Toled,Toledo OH-MI,Med,2011,516,78,288,270,4013,390,4344,1217,15.1,3.3,16.79,86.81,3.25,3.69,22,23,2.5,4176,76,12,69,9195,78,26,71,1.13,68,1.16,69,2.64,55,1.37,66,84,75,234,72,48,11123,202,78,555,73,106,0,2.3,318,1,7,0.73
Tucso,Tucson AZ,Med,2011,718,57,401,376,3793,258,10832,1779,82.9,20.6,16.79,86.81,3.19,3.68,61,58,2.5,12125,43,24,8,19078,53,38,30,1.16,51,1.21,45,2.06,83,1.24,88,248,41,491,7,155,28934,466,48,921,21,1124,3,27.5,606,2,14.8,1.13
Tulsa,Tulsa OK,Med,2011,717,58,401,376,7634,892,8197,1854,16.6,2.7,16.79,86.81,3.26,3.53,25,37,2.5,7242,58,15,48,15500,57,32,47,1.12,74,1.16,69,2.07,81,1.31,73,145,58,298,50,67,29127,331,57,668,51,100,0,2.1,75,0,1.6,0.69
Virgi,Virginia Beach VA,Lrg,2011,1555,31,886,823,13144,957,18165,3267,122.4,20.2,16.79,86.81,3.29,3.6,50,44,4,19633,29,19,24,46172,26,43,20,1.2,27,1.28,20,3.41,26,1.65,33,392,27,373,29,131,43521,932,28,877,26,3710,5,74.9,1643,2,33.2,1.02
Washi,Washington DC-VA-MD,Vlg,2011,4613,7,2343,2011,40082,2222,49729,7099,2589.7,484.6,16.79,86.81,3.58,3.74,85,69,7,85103,5,32,1,179331,4,67,1,1.32,4,1.39,3,5.72,1,2.56,1,1703,5,631,1,656,97285,3771,4,1398,1,14185,7,298.3,33810,17,711,1.32
Wichi,Wichita KS,Med,2011,510,79,285,267,4558,623,4805,1824,13,2.4,16.79,86.81,3.3,3.64,5,9,2.5,2887,85,8,91,6906,83,20,89,1.09,93,1.12,89,2.57,60,1.31,73,58,83,166,91,25,7918,143,84,405,92,232,1,4.8,213,1,4.4,0.52
Winst,Winston-Salem NC,Sml,2011,388,89,218,204,4777,460,1665,373,7.5,3.5,16.79,86.81,3.32,3.64,18,23,1.5,2456,90,9,90,5385,89,20,89,1.11,79,1.14,78,2.09,80,1.25,86,50,86,183,87,29,8821,119,88,435,90,269,1,6,52,0,1.1,0.76
Worce,Worcester MA-CT,Sml,2011,447,85,251,235,5764,546,4740,1152,9.9,3.6,16.79,86.81,3.49,3.73,22,28,1.5,5117,69,16,43,10139,71,33,45,1.13,68,1.15,73,2.21,73,1.3,76,103,67,329,42,35,10171,212,74,677,49,322,1,6.7,98,0,2,0.77
