,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,2010 Accessibility Table,,,,,
,,,,,,
,Number of Jobs Reachable in __Minutes,,,,,
Area,10,20,30,40,50,60
Atlanta,59477.08721521045,357114.3262136377,856121.7919502099,1588130.5854499077,2003047,2003047
Austin,89629.20182256152,640563,640563,640563,640563,640563
Baltimore,107844.65382434858,505005.9283319635,1059610,1059610,1059610,1059610
Boston,79903.14113280206,380997.72673862876,902723.0848147356,1653111.0797729834,2224822,2224822
Buffalo,94459.4843653832,423039.0270082594,455704,455704,455704,455704
Charlotte,73877.55677749596,571729.8719684911,727384,727384,727384,727384
Chicago,115890.25842025383,586581.4464455842,1374107.789263207,2528445.637036551,3797772,3797772
Cincinnati,76612.18468576526,401138.38245234394,874547,874547,874547,874547
Cleveland,85324.05483703171,446467.99250383215,870158,870158,870158,870158
Columbus,115722.79781261661,669713.8830353544,750329,750329,750329,750329
Dallas-Fort Worth,108324.50891921732,597233.5884607919,1422964.4472271064,2510280,2510280,2510280
Denver,99068.50312862972,540922.9036318759,1038146,1038146,1038146,1038146
Detroit,86090.78058302615,398894.79536645184,934287.0254247128,1500978,1500978,1500978
Grand Rapids,100659.20317123037,318367,318367,318367,318367,318367
Virginia Beach,82509.92148411107,354964.1381053756,593797,593797,593797,593797
Hartford,79707.74672576852,382882.50895852,529323,529323,529323,529323
Honolulu,99156.22620175069,335934,335934,335934,335934,335934
Houston,98662.44890309745,561143.7558115129,1327200.7564838568,2176567,2176567,2176567
Indianapolis,78645.09266656783,439598.5744247279,742919,742919,742919,742919
Jacksonville,134775.98201775912,724869.4702620495,860640,860640,860640,860640
Kansas City,116870.79447588885,583873.6263180295,928617,928617,928617,928617
Las Vegas,130713.55913083299,731876,731876,731876,731876,731876
Los Angeles,237203.0038730845,1095687.2593002284,2558449.1186724417,4649343.396246627,4852354,4852354
Louisville,88446.23797840974,472112.1613862623,515000,515000,515000,515000
Memphis,78516.475043575,426149.4559915664,509166,509166,509166,509166
Miami,97777.72217404339,471362.8213251698,1094312.5473924817,1820909,1820909,1820909
Milwaukee,127253.68181943308,618571.3766417715,737279,737279,737279,737279
Minneapolis-St.Paul,145051.71280497365,730528.7695081787,1572381,1572381,1572381,1572381
Nashville,84487.13895333449,488658.2680074809,652935,652935,652935,652935
New Orleans,146521.0037659615,446087,446087,446087,446087,446087
New York,150849.22922843814,673998.0698612122,1582215.4569201486,2877039.5005336097,4561231.034219384,6625887.060495273
Oklahoma City,82314.26445375066,439254.9372798303,452754,452754,452754,452754
Orlando,98773.85171239886,551444.9698626309,855864,855864,855864,855864
Philadelphia,81951.00085473937,403186.8605099872,937703.29641152,1711557.4646781173,2421591,2421591
Phoenix,101446.25434415594,592322.7718084621,1389979.1548369506,1453359,1453359,1453359
Pittsburgh,68890.85308394146,324725.4268112931,770156.3280285868,1030938,1030938,1030938
Portland,81313.05951025359,378819.7669078855,870794,870794,870794,870794
Providence,76318.44924304809,363222.0072741502,590501,590501,590501,590501
Raleigh,72549.95827723222,410617,410617,410617,410617,410617
Riverside,163148.04251446438,819185.7767252949,957326,957326,957326,957326
Rochester,103745.16463286408,415085,415085,415085,415085,415085
Sacramento,105441.47642108904,563562.6788312822,621068,621068,621068,621068
Salt Lake City,136059.7416482447,526157,526157,526157,526157,526157
San Antonio,97780.03076119898,623055.9906847492,718175,718175,718175,718175
San Diego,132348.40758081837,517739.77444307803,1101324,1101324,1101324,1101324
San Francisco,283549.01608170767,1422049.7814910868,1767793,1767793,1767793,1767793
San Jose,237928.87404721085,857032,857032,857032,857032,857032
Seattle,77482.81458418448,325530.2169469131,758921.9273201424,1380319.4704381595,1435764,1435764
St. Louis,64088.55177592955,303959.2177672135,710908.5157326926,1169641,1169641,1169641
Tampa Bay,74681.65498400778,385041.6156892548,897069.6589055914,932231,932231,932231
Washington,108988.25484950817,550365.3400067543,1326239.0047034791,2370531,2370531,2370531
