,Time Threshold Circuities,,,,,,,,,ln(Time Threshold Circuities),,,,,,,,,ln(C)-ln(t),,,,C-ln(t),,,ln(C)-t,C-t,
,10,20,30,40,50,60,70,80,90,2.302585092994046,2.995732273553991,3.4011973816621555,3.6888794541139363,3.912023005428146,4.0943445622221,4.248495242049359,4.382026634673881,4.499809670330265,Zeta,,Y-Intercept,r2,Zeta,Y-Intercept,r2,r2,r2,
Columbus,1.3154052160541856,1.2574617832246402,1.2256372712216081,1.2064902089048501,1.1931736027090176,1.1841867800130694,1.1786599793271293,1.1744125033260115,1.170640075391003,0.27414476725218356,0.2290952314560944,0.2034609301338403,0.18771549076187283,0.17661665030697993,0.1690562774094732,0.16437818244339455,0.16076802538650414,0.15755067220355837,-0.053271655170247435,0.38985815978766414,1.4767713134699465,0.9821360195770729,-0.06582852825466491,1.4569972192035294,0.9779846764801435,0.8224184183577796,0.8107021315048394,
Dallas-Fort Worth,1.3709373164482086,1.316741812098526,1.2795054806790753,1.2511891343902113,1.2332624692753114,1.2187551799905612,1.2086201083246289,1.20062304078927,1.1935432741418819,0.3154946784905976,0.2751603610962419,0.24647366006228422,0.22409440662015617,0.2096630719869905,0.19782999356955316,0.18947930250725437,0.18284062271365345,0.17692642432283065,-0.06491595271252674,0.4660306548689767,1.5936558519110309,0.9974499815092788,-0.08283045143033237,1.5611196033145678,0.9967855730385187,0.8995913987165474,0.8882277384538879,
Denver,1.3838943275761848,1.3695766278756532,1.3549453384351537,1.3407119414349367,1.3310249643517464,1.3233890487857078,1.3199025271396674,1.3213862630598945,1.3240785487461841,0.3249015013730653,0.31450166133249385,0.30376111287969587,0.2932007724514817,0.2859492953240434,0.28019590750166806,0.2775578907957358,0.2786813848125972,0.28071678260261973,-0.023583693583643248,0.38112353746947025,1.4639284442548006,0.9578472824236699,-0.0318386780380784,1.459589359969168,0.958537370095316,0.8476710541733253,0.8456152950210151,
Detroit,1.2961889465742875,1.244115595775388,1.2210672341555926,1.2045476702347175,1.1948625976389575,1.1890981300925036,1.185799672832205,1.1834504180945258,1.1815111634315267,0.2594283794132359,0.21842491264897151,0.19972525844105077,0.18610411907231175,0.17803119771738005,0.1731951459200063,0.17041737638639085,0.16843425479310742,0.16679426612454457,-0.04188262036902118,0.3471859629722318,1.415079853359115,0.9630615355994073,-0.05161028172428371,1.4034312155282682,0.9585850776889311,0.774930822778507,0.7653193213739578,
Grand Rapids,1.3348754820096862,1.2817605615059422,1.2544780223802419,1.2419710808941744,1.233456986217629,1.2279984552443621,1.224997316832088,1.2239079252730434,1.2232412513078061,0.28883801559926164,0.24823457155873904,0.22671956764357176,0.216699698935996,0.20982078505183674,0.205385571779829,0.20293865365313887,0.20204895681050553,0.20150409915482173,-0.039365420638550135,0.3691021467287943,1.446435344767857,0.9417988811379712,-0.0500724636930177,1.4361523443985424,0.9369054325582429,0.7316776889564857,0.7227448493764893,
Hampton Roads,1.3770423338795401,1.3279800701748417,1.312046755370444,1.3127863353875946,1.3266315300264815,1.346740351144762,1.3587189631498593,1.366151779003018,1.3692372738659986,0.31993796283207077,0.28365904354316734,0.2715883266022021,0.27215185198545516,0.2826430453728432,0.29768711800467795,0.3065423169843797,0.31199786698418225,0.3142538504015099,0.0029029294563269175,0.2847933779771532,1.3294872983849029,0.012590338158446596,0.0038017769855945857,1.3299867181988838,0.011970982860141623,0.14967197125124534,0.14792113321059772,
Hartford,1.300294615138489,1.2505150819135913,1.2290898816431728,1.2188864904956345,1.2145010966126184,1.2117954649668699,1.210475812342615,1.2093125584058166,1.209107216071498,0.26259086582107194,0.22355553196939734,0.20627396187489253,0.1979377292608077,0.19433337239308587,0.19210311512768205,0.19101351565368646,0.19005206461072052,0.18988224931481598,-0.03170612662946961,0.32341036222229236,1.38183228634109,0.8967870895296057,-0.039596019337260625,1.375715384539423,0.891899019793063,0.6571533812474303,0.6500158523932428,
Honolulu,1.3987003867957324,1.391616228451807,1.4544181586782163,1.4538117652110458,1.457400295504332,1.4692986717859429,1.4767113172087425,1.4777791774280755,1.4777153986356404,0.3355435103425356,0.330465825949273,0.3746059297029438,0.3741889107657702,0.37665422901533335,0.3847851929219119,0.38981753231920424,0.3905404050228206,0.39049724555099374,0.029636410418130938,0.261503928526801,1.298882044254814,0.854483974225419,0.04257356136440391,1.2922409757910756,0.8574320671152481,0.7621298505833068,0.7672460917762337,
Houston,1.3897486026643189,1.3387498825041777,1.3069331450221904,1.2856652497453485,1.2722002879394259,1.2594130920664293,1.2522801836640733,1.244994902024373,1.2388417245899803,0.3291228693926301,0.2917362550144975,0.26768328185881535,0.2512762884666414,0.24074791159442757,0.2306458124976129,0.22496603650998126,0.21913143514874756,0.21417685000754969,-0.052861037234447926,0.4490731051789617,1.5668591985347347,0.9971720592762897,-0.06918629371947292,1.5453671137138831,0.9955306246418417,0.8825564652664045,0.8721334105146052,
Indianapolis,1.3132675347089213,1.2503690377090788,1.2187474904953295,1.200222268133452,1.1891581230137593,1.1812621353923214,1.1756537398215856,1.171319986899658,1.1680289166643287,0.2725183329112214,0.22343873790962257,0.1978236842470447,0.18250676308675368,0.17324559710346482,0.1665834731210419,0.16182436719356053,0.15813130680848156,0.15531764151766517,-0.052762044833318714,0.38447137561478606,1.4688376527750553,0.9724644885546678,-0.06505269392363949,1.4498807630169444,0.9671131969326916,0.7968887241840369,0.78445708609624,
