,Time Threshold Circuities,,,,,,,,,ln(Time Threshold Circuities),,,,,,,,,ln(C)-ln(t),,,,C-ln(t),,,ln(C)-t,C-t
,10,20,30,40,50,60,70,80,90,2.302585092994046,2.995732273553991,3.4011973816621555,3.6888794541139363,3.912023005428146,4.0943445622221,4.248495242049359,4.382026634673881,4.499809670330265,Zeta,,Y-Intercept,r2,Zeta,Y-Intercept,r2,r2,r2
Columbus,1.3249637252937287,1.247954909153181,1.2132024431612698,1.1959404878863944,1.184989187914482,1.1775894338342325,1.172494087107976,1.168776185431562,1.1666680790044779,0.2813850819266164,0.221506138808281,0.19326351064601283,0.17893289499809295,0.1697336504226695,0.16346949632504024,0.15913317834730953,0.15595720601710505,0.1541518904017923,-0.05642126660169782,0.3965623639755275,1.4867051519274657,0.9498059771540668,-0.06975028822512203,1.46566260671379,0.9422495778116249,0.7485519582646112,0.7345772484722186
Dallas-Fort Worth,1.3824701219183075,1.3241222203723044,1.2867507208792124,1.2625860685913481,1.2464302544174806,1.2313593343456124,1.2194440762579295,1.2096246171132026,1.2015060407013247,0.32387184254849083,0.2807497647138203,0.25212021978310334,0.23316205298535672,0.2202836692812475,0.20811870903023985,0.19839507969525397,0.19031007768545044,0.1835758038149771,-0.06434457763370864,0.47197168768364084,1.6031519941376051,0.9995871412599538,-0.08275245831524192,1.570953037980963,0.9988008824429355,0.905384493208221,0.8932253138687807
Denver,1.3957008737903487,1.382383812463321,1.3693023353302707,1.3585032737296159,1.3458448279862103,1.338527756308961,1.332588071446608,1.3292653370679421,1.3276510683394664,0.333396707591124,0.32380940926480717,0.3143013658466514,0.306383559693372,0.29702194076273813,0.2915703206395891,0.28712296976795626,0.28462641147224665,0.28341126678510264,-0.024909854918608174,0.3951943513870614,1.4846727110835902,0.975437465435528,-0.0338870561229086,1.4795371194691795,0.9768643303729089,0.9464590247163707,0.9440638097870385
Detroit,1.3026208565751525,1.246103728819398,1.2213340937624941,1.2059623625482374,1.1960712699174072,1.1893966318471174,1.184359051274878,1.1812733520638485,1.1793589097336392,0.26437827849833684,0.22002166635398832,0.1999437807657098,0.18727788931736597,0.17904224398495847,0.17344614647797052,0.16920174325593204,0.16659296857335304,0.16497099400247145,-0.04461186153659013,0.3578325035878442,1.430226042685526,0.96721298626411,-0.055053904787590126,1.4169075057792113,0.9622126870195972,0.7847482362185307,0.7739263614086636
Grand Rapids,1.3210528558171648,1.276401235569196,1.2534629398347654,1.2427824351070944,1.2372127864425393,1.2335421845251597,1.2332093689133028,1.2343026815133216,1.2368611790095092,0.2784290367133603,0.24404458343244811,0.2259100728299376,0.21735276511461826,0.2128610967596423,0.20988985545005576,0.2096200142385138,0.21050618026260845,0.2125768631916026,-0.03019209991719583,0.33704260390597857,1.400798741965161,0.8873420415363134,-0.03840202793593369,1.3951399152052602,0.8838394505151013,0.6400229583907247,0.6346907213630286
Virginia Beach,1.404082410081675,1.3392188111212502,1.3109661328414999,1.3015601427125245,1.3069173513439627,1.3154823264242705,1.3238381040403082,1.3331220930334835,1.3441760531206133,0.3393840005204086,0.2920864671906006,0.27076437137503795,0.2635636546902554,0.267671197251643,0.27420338653473514,0.28053517212308765,0.28752362967549977,0.29578122542748553,-0.018531209682638994,0.35475262651962625,1.4258278986423827,0.3364164864413143,-0.025316680848066736,1.4253452791809373,0.34330292794163964,0.09838277222477884,0.10274361242373693
Hartford,1.3288885485099737,1.2718012066329836,1.2482031115877554,1.2343532827288761,1.2269265395465623,1.222907563059109,1.2212395547829722,1.2209157982173557,1.2211596606105135,0.2843429150482539,0.24043416861073252,0.22170500637462104,0.210547175213946,0.20451229396629428,0.2012312717219141,0.19986637144818487,0.19960123142167888,0.19980094875071291,-0.03770656371982882,0.3584619388808953,1.4311265608130475,0.9143425001563158,-0.04779182123492302,1.4220689480408457,0.9090618466053528,0.6832989509068472,0.6749724490819631
Honolulu,1.4170125027894218,1.4172580385913462,1.4345819636227921,1.4322616900458065,1.4435399462955427,1.4453004287893763,1.4457945737747382,1.4620608998697906,1.4625638767711695,0.34855078409193324,0.3487240461704496,0.3608734922226819,0.3592547962881173,0.3670983929596692,0.36831720915107385,0.36865904848166353,0.37984701563772927,0.3801909755948185,0.014948887842140756,0.30892810007828714,1.3619644418461883,0.8691063092781804,0.02149154028393093,1.3599853363338372,0.8669993671723185,0.9367460472498753,0.9370140145484144
Houston,1.4112669682919152,1.3398457759675975,1.3068171566560105,1.2834405439564254,1.2654610127146704,1.2531681942574937,1.244523848534959,1.2376203077049825,1.232150114435076,0.3444878599998259,0.2925545147776685,0.2675945294128135,0.24954439688751595,0.235436492717069,0.22567490015165928,0.21875300578770768,0.21319042908277167,0.20876070382105782,-0.06169047009553481,0.4804639554846902,1.6168243627361591,0.9918322516243959,-0.08101283303996204,1.5878063011178507,0.988036452979734,0.8549336722529111,0.841283712853152
Indianapolis,1.3307390130691796,1.271809639354645,1.2377454480083434,1.217214506898558,1.2032297568764418,1.1942370623952343,1.1881337656936146,1.1835544609982929,1.1802346118410132,0.28573443684215505,0.24044079912315916,0.21329153761849304,0.19656505722348397,0.185009405354132,0.1775075399826427,0.1723838119870409,0.16852216581074247,0.1657132423088611,-0.055195414209786804,0.40617771203397995,1.5010692868324715,0.9826694886202397,-0.06887074760168471,1.4795329450328085,0.9786129735594307,0.8244997110310633,0.8126515691515271
