,10,20,30,40,50,60,70,80,90
1990,145571.93986522604,596250.6023908964,1214211.3063647673,1819033.6455644725,2275018.4198599155,2776177.4318969194,2872250.942915072,2872250.942915072,2872250.942915072
2000,103265.26378215803,437600.96462318517,937494.7522103171,1452782.3668584905,1935878.3108906618,2314755.733024411,2564170.4134840737,2661643.0865932796,2661643.0865932796
2010,122131.53276028835,524030.1612125532,1097361.6034426326,1708090.453333667,2125494.1981406347,2367106.0802880656,2459544.5461067823,2459544.5461067823,2459544.5461067823
